Date,Open,High,Low,Close,Signal,Entry,StopLoss,TakeProfit,RiskReward
2022-03-31,47078.02,47624.09,45211.0,45528.45,NONE,,,,
2022-04-01,45525.25,46739.24,44232.86,46296.34,NONE,,,,
2022-04-02,46296.36,47219.46,45642.89,45826.27,NONE,,,,
2022-04-03,45826.24,47469.4,45552.07,46422.16,NONE,,,,
2022-04-04,46420.08,46900.0,45129.93,46596.83,NONE,,,,
2022-04-05,46594.39,47200.0,45371.16,45506.5,NONE,,,,
2022-04-06,45509.92,45523.25,43115.26,43166.7,NONE,,,,
2022-04-07,43166.71,43908.58,42734.69,43452.18,NONE,,,,
2022-04-08,43444.71,44000.0,42112.0,42262.02,NONE,,,,
2022-04-09,42261.9,42816.38,42118.96,42766.93,NONE,,,,
2022-04-10,42766.46,43443.32,41885.86,42165.96,NONE,,,,
2022-04-11,42165.96,42424.14,39204.59,39535.87,NONE,,,,
2022-04-12,39535.88,40705.68,39250.0,40086.23,SELL,41295.770000000004,43411.484895,34948.62531500001,3.0
2022-04-13,40086.7,41570.88,39550.0,41146.68,NONE,,,,
2022-04-14,41147.15,41512.43,39573.8,39954.08,NONE,,,,
2022-04-15,39953.62,40850.0,39770.22,40554.58,NONE,,,,
2022-04-16,40554.6,40699.99,40005.0,40387.6,NONE,,,,
2022-04-17,40387.6,40605.46,39553.07,39683.54,NONE,,,,
2022-04-18,39681.11,41100.0,38550.0,40803.58,NONE,,,,
2022-04-19,40810.87,41772.94,40571.99,41503.85,NONE,,,,
2022-04-20,41501.56,42209.58,40900.0,41377.61,NONE,,,,
2022-04-21,41371.88,43109.47,39744.75,40480.81,NONE,,,,
2022-04-22,40483.38,40802.65,39174.8,39712.25,NONE,,,,
2022-04-23,39712.2,39993.82,39296.19,39465.87,NONE,,,,
2022-04-24,39459.63,39945.74,39000.0,39464.56,NONE,,,,
2022-04-25,39463.75,40605.3,38210.24,40439.22,NONE,,,,
2022-04-26,40440.9,40817.16,37700.0,38113.82,NONE,,,,
2022-04-27,38118.43,39470.0,37882.83,39251.11,NONE,,,,
2022-04-28,39251.02,40400.0,38883.83,39743.22,NONE,,,,
2022-04-29,39741.21,39926.8,38161.85,38593.1,NONE,,,,
2022-04-30,38592.27,38795.0,37590.0,37644.1,NONE,,,,
2022-05-01,37640.35,38675.37,37401.0,38473.05,NONE,,,,
2022-05-02,38469.49,39181.27,38041.0,38510.89,NONE,,,,
2022-05-03,38510.88,38643.48,37505.01,37719.59,NONE,,,,
2022-05-04,37719.58,40038.27,37651.38,39669.56,NONE,,,,
2022-05-05,39669.56,39864.55,35568.0,36537.22,NONE,,,,
2022-05-06,36537.22,36664.4,35255.4,35999.1,NONE,,,,
2022-05-07,35999.1,36125.0,34785.0,35458.0,NONE,,,,
2022-05-08,35458.0,35499.93,33701.0,34027.91,NONE,,,,
2022-05-09,34033.49,34231.54,30010.0,30078.27,NONE,,,,
2022-05-10,30078.27,32645.49,29735.05,31002.39,NONE,,,,
2022-05-11,31002.39,32185.9,27682.38,28972.34,NONE,,,,
2022-05-12,28977.75,30091.2,25338.53,28941.95,NONE,,,,
2022-05-13,28941.95,30990.0,28662.7,29232.18,NONE,,,,
2022-05-14,29234.73,30287.58,28564.38,30041.88,NONE,,,,
2022-05-15,30041.9,31418.35,29436.06,31290.05,NONE,,,,
2022-05-16,31290.02,31293.31,29055.0,29839.89,NONE,,,,
2022-05-17,29839.89,30750.0,29415.01,30412.12,NONE,,,,
2022-05-18,30412.1,30675.92,28605.0,28672.94,NONE,,,,
2022-05-19,28671.5,30500.0,28645.2,30274.59,NONE,,,,
2022-05-20,30274.59,30729.83,28690.92,29155.75,NONE,,,,
2022-05-21,29155.74,29613.34,28913.26,29408.26,NONE,,,,
2022-05-22,29407.4,30457.9,29211.0,30260.87,NONE,,,,
2022-05-23,30258.04,30635.39,28847.72,29082.52,NONE,,,,
2022-05-24,29079.31,29802.0,28611.0,29626.44,NONE,,,,
2022-05-25,29627.61,30192.08,29296.12,29503.49,NONE,,,,
2022-05-26,29503.48,29850.0,28000.0,29166.06,NONE,,,,
2022-05-27,29166.06,29355.4,28220.0,28598.31,NONE,,,,
2022-05-28,28598.31,29239.52,28500.0,29008.99,NONE,,,,
2022-05-29,29008.99,29550.0,28809.84,29447.07,NONE,,,,
2022-05-30,29447.08,32232.16,29273.65,31711.42,BUY,29256.585,27986.0,33068.34,3.0
2022-05-31,31716.67,32383.96,31195.9,31784.05,NONE,,,,
2022-06-01,31784.18,31964.56,29308.01,29788.79,NONE,,,,
2022-06-02,29789.19,30655.0,29558.61,30433.75,NONE,,,,
2022-06-03,30429.12,30674.95,29213.47,29670.85,NONE,,,,
2022-06-04,29672.77,29952.0,29454.14,29843.18,NONE,,,,
2022-06-05,29837.56,30158.44,29505.65,29901.54,NONE,,,,
2022-06-06,29899.62,31745.0,29866.44,31343.61,NONE,,,,
2022-06-07,31349.59,31549.21,29200.0,31106.9,NONE,,,,
2022-06-08,31111.0,31306.32,29829.98,30177.0,NONE,,,,
2022-06-09,30182.92,30679.72,29904.0,30079.62,NONE,,,,
2022-06-10,30079.59,30337.83,28821.15,29063.11,NONE,,,,
2022-06-11,29058.79,29411.11,28080.01,28388.63,SELL,29657.555,31760.872499999998,23347.602500000008,3.0
2022-06-12,28395.03,28516.33,26532.95,26555.2,NONE,,,,
2022-06-13,26555.17,26869.35,21920.0,22460.97,NONE,,,,
2022-06-14,22460.97,23299.22,20816.4,22120.25,NONE,,,,
2022-06-15,22120.23,22769.12,20071.0,22562.33,NONE,,,,
2022-06-16,22562.33,22974.1,20200.0,20372.0,NONE,,,,
2022-06-17,20371.96,21338.7,20209.73,20447.86,NONE,,,,
2022-06-18,20447.86,20750.0,17567.45,18948.89,NONE,,,,
2022-06-19,18944.66,20795.11,17934.26,20552.44,NONE,,,,
2022-06-20,20552.39,21041.62,19603.8,20549.75,NONE,,,,
2022-06-21,20547.68,21711.0,20328.03,20696.96,NONE,,,,
2022-06-22,20699.63,20873.52,19751.51,19968.46,NONE,,,,
2022-06-23,19970.07,21211.97,19869.41,21104.45,NONE,,,,
2022-06-24,21104.45,21537.46,20712.54,21223.72,NONE,,,,
2022-06-25,21221.13,21594.5,20900.0,21478.04,NONE,,,,
2022-06-26,21474.14,21866.0,20944.68,21027.92,NONE,,,,
2022-06-27,21024.85,21520.0,20500.0,20725.17,NONE,,,,
2022-06-28,20722.95,21189.99,20164.7,20252.89,NONE,,,,
2022-06-29,20253.5,20410.91,19823.43,20094.79,SELL,20455.455,21876.932999999997,16191.021000000015,3.0
2022-06-30,20098.0,20143.53,18603.0,19985.62,NONE,,,,
2022-07-01,19985.62,20879.99,18938.33,19252.76,NONE,,,,
2022-07-02,19252.76,19422.02,18955.02,19224.03,NONE,,,,
2022-07-03,19225.54,19622.33,18755.75,19291.33,NONE,,,,
2022-07-04,19291.35,20331.76,19029.33,20211.35,NONE,,,,
2022-07-05,20212.42,20734.89,19274.95,20153.51,NONE,,,,
2022-07-06,20153.74,20650.0,19743.0,20542.67,NONE,,,,
2022-07-07,20542.66,21855.72,20224.8,21614.6,NONE,,,,
2022-07-08,21618.04,22490.54,21172.0,21582.2,NONE,,,,
2022-07-09,21582.28,21959.3,21311.04,21583.99,NONE,,,,
2022-07-10,21582.23,21595.75,20636.53,20850.65,NONE,,,,
2022-07-11,20850.65,20854.32,19860.12,19942.43,NONE,,,,
2022-07-12,19942.44,20037.46,19226.47,19303.65,NONE,,,,
2022-07-13,19304.71,20330.71,18892.0,20220.23,NONE,,,,
2022-07-14,20219.69,20893.73,19607.14,20577.02,NONE,,,,
2022-07-15,20574.96,21196.37,20368.67,20827.55,NONE,,,,
2022-07-16,20823.06,21582.71,20475.94,21189.68,NONE,,,,
2022-07-17,21189.23,21667.1,20750.1,20791.74,NONE,,,,
2022-07-18,20791.74,22777.0,20755.95,22427.56,NONE,,,,
2022-07-19,22434.97,23800.0,21578.57,23395.06,NONE,,,,
2022-07-20,23398.46,24287.13,22899.0,23226.99,NONE,,,,
2022-07-21,23225.24,23434.65,22340.07,23153.96,NONE,,,,
2022-07-22,23152.76,23763.55,22505.56,22687.68,NONE,,,,
2022-07-23,22688.85,23006.16,21941.01,22450.69,NONE,,,,
2022-07-24,22451.36,23036.46,22263.85,22583.43,NONE,,,,
2022-07-25,22583.37,22665.74,21254.97,21313.41,NONE,,,,
2022-07-26,21312.06,21344.43,20715.0,21261.57,NONE,,,,
2022-07-27,21260.22,23110.73,21045.73,22962.59,NONE,,,,
2022-07-28,22960.74,24206.11,22580.86,23851.7,NONE,,,,
2022-07-29,23851.66,24450.0,23429.71,23784.5,NONE,,,,
2022-07-30,23787.84,24666.0,23516.11,23650.13,NONE,,,,
2022-07-31,23648.15,24192.18,23240.01,23307.44,NONE,,,,
2022-08-01,23307.44,23518.89,22850.0,23273.86,NONE,,,,
2022-08-02,23273.85,23464.97,22659.06,22989.4,NONE,,,,
2022-08-03,22994.78,23650.96,22694.56,22825.0,NONE,,,,
2022-08-04,22824.88,23234.29,22392.88,22623.94,NONE,,,,
2022-08-05,22624.44,23478.58,22589.83,23320.81,NONE,,,,
2022-08-06,23320.71,23357.19,22917.49,22960.93,NONE,,,,
2022-08-07,22960.86,23405.02,22852.13,23177.39,NONE,,,,
2022-08-08,23180.26,24251.08,23158.32,23815.65,NONE,,,,
2022-08-09,23815.68,23929.35,22871.66,23158.27,NONE,,,,
2022-08-10,23158.32,24224.67,22666.23,23962.18,NONE,,,,
2022-08-11,23959.3,24929.99,23862.66,23944.86,NONE,,,,
2022-08-12,23944.85,24463.01,23600.01,24415.18,NONE,,,,
2022-08-13,24415.08,24898.91,24302.36,24456.49,NONE,,,,
2022-08-14,24456.17,25054.1,24151.63,24316.71,NONE,,,,
2022-08-15,24316.58,25214.57,23777.0,24097.82,NONE,,,,
2022-08-16,24099.7,24253.98,23668.0,23857.93,NONE,,,,
2022-08-17,23857.89,24448.49,23180.14,23341.17,NONE,,,,
2022-08-18,23344.42,23600.0,23107.27,23189.46,NONE,,,,
2022-08-19,23188.94,23206.76,20782.39,20834.94,NONE,,,,
2022-08-20,20834.94,21372.93,20760.93,21139.23,SELL,22240.1,24460.714245,15578.257264999997,3.0
2022-08-21,21139.22,21795.08,21067.33,21518.62,NONE,,,,
2022-08-22,21514.45,21540.0,20889.69,21398.25,NONE,,,,
2022-08-23,21396.37,21679.52,20889.69,21528.34,NONE,,,,
2022-08-24,21526.74,21925.0,21147.41,21367.12,NONE,,,,
2022-08-25,21367.12,21818.32,21307.32,21561.86,NONE,,,,
2022-08-26,21561.49,21878.05,20112.78,20240.72,NONE,,,,
2022-08-27,20240.63,20389.14,19800.0,20036.69,SELL,20848.23,24460.714245,10010.777265,3.0
2022-08-28,20035.3,20164.26,19513.74,19554.03,NONE,,,,
2022-08-29,19552.31,20427.19,19545.57,20286.97,NONE,,,,
2022-08-30,20286.95,20582.64,19540.14,19813.17,NONE,,,,
2022-08-31,19813.97,20489.0,19799.97,20048.26,NONE,,,,
2022-09-01,20048.27,20205.53,19561.01,20133.65,NONE,,,,
2022-09-02,20132.67,20444.0,19755.0,19953.74,NONE,,,,
2022-09-03,19953.4,20053.9,19655.0,19835.47,NONE,,,,
2022-09-04,19833.59,20026.2,19588.27,20004.73,NONE,,,,
2022-09-05,20003.85,20060.0,19633.11,19794.58,NONE,,,,
2022-09-06,19794.59,20179.86,18663.25,18790.91,NONE,,,,
2022-09-07,18790.77,19466.09,18527.0,19293.52,SELL,19549.6,24460.714245,4816.257264999997,3.0
2022-09-08,19293.03,19460.7,19014.43,19321.87,NONE,,,,
2022-09-09,19322.56,21616.21,19294.49,21364.5,NONE,,,,
2022-09-10,21366.61,21815.15,21127.1,21651.52,NONE,,,,
2022-09-11,21656.03,21865.66,21356.37,21831.72,NONE,,,,
2022-09-12,21830.16,22490.05,21555.0,22402.71,NONE,,,,
2022-09-13,22402.58,22800.0,19855.0,20174.78,NONE,,,,
2022-09-14,20174.78,20545.0,19625.0,20227.77,NONE,,,,
2022-09-15,20227.7,20336.42,19500.0,19703.67,NONE,,,,
2022-09-16,19703.65,19890.95,19305.0,19801.04,NONE,,,,
2022-09-17,19800.26,20183.14,19748.89,20113.37,NONE,,,,
2022-09-18,20113.37,20119.08,19335.57,19417.64,NONE,,,,
2022-09-19,19417.56,19689.62,18255.0,19540.38,NONE,,,,
2022-09-20,19538.31,19638.46,18722.0,18876.91,NONE,,,,
2022-09-21,18876.14,19949.97,18153.13,18462.64,NONE,,,,
2022-09-22,18462.66,19521.8,18358.63,19401.25,NONE,,,,
2022-09-23,19399.93,19500.0,18529.0,19286.01,NONE,,,,
2022-09-24,19286.03,19311.4,18808.13,18923.2,NONE,,,,
2022-09-25,18920.93,19184.3,18619.88,18808.61,NONE,,,,
2022-09-26,18806.3,19320.86,18681.02,19228.0,NONE,,,,
2022-09-27,19226.94,20383.15,18821.55,19077.57,NONE,,,,
2022-09-28,19077.56,19773.67,18487.0,19412.07,NONE,,,,
2022-09-29,19412.37,19646.66,18845.3,19595.57,NONE,,,,
2022-09-30,19595.59,20182.72,19154.38,19426.11,NONE,,,,
2022-10-01,19423.57,19486.43,19160.0,19315.27,NONE,,,,
2022-10-02,19315.26,19398.94,18923.81,19059.17,NONE,,,,
2022-10-03,19059.1,19717.67,18958.29,19633.46,NONE,,,,
2022-10-04,19632.43,20479.43,19495.32,20345.19,NONE,,,,
2022-10-05,20345.27,20371.15,19750.0,20161.62,NONE,,,,
2022-10-06,20162.15,20455.79,19855.19,19965.64,NONE,,,,
2022-10-07,19963.75,20065.26,19325.0,19533.05,NONE,,,,
2022-10-08,19531.68,19628.78,19250.0,19419.39,SELL,19741.985,20466.017895,17569.886315,3.0
2022-10-09,19421.49,19563.28,19321.0,19443.47,NONE,,,,
2022-10-10,19442.7,19528.04,19028.08,19132.83,NONE,,,,
2022-10-11,19130.8,19265.69,18855.19,19058.11,NONE,,,,
2022-10-12,19058.42,19235.26,18971.51,19155.92,NONE,,,,
2022-10-13,19153.97,19509.23,18131.0,19378.65,NONE,,,,
2022-10-14,19375.55,19954.14,19076.83,19178.0,NONE,,,,
2022-10-15,19179.15,19229.12,18983.0,19070.24,NONE,,,,
2022-10-16,19070.62,19425.49,19065.23,19264.44,NONE,,,,
2022-10-17,19261.62,19679.46,19154.72,19550.4,NONE,,,,
2022-10-18,19550.39,19702.73,19091.77,19328.76,NONE,,,,
2022-10-19,19328.75,19361.0,19062.1,19124.18,NONE,,,,
2022-10-20,19123.77,19349.04,18905.0,19042.48,NONE,,,,
2022-10-21,19043.66,19254.52,18659.0,19166.45,NONE,,,,
2022-10-22,19164.92,19257.66,19110.46,19209.1,NONE,,,,
2022-10-23,19209.09,19698.1,19070.92,19572.44,NONE,,,,
2022-10-24,19572.2,19603.57,19159.35,19330.41,NONE,,,,
2022-10-25,19332.11,20420.88,19240.76,20086.28,NONE,,,,
2022-10-26,20086.27,21022.81,20055.85,20775.4,BUY,19829.71,18121.9345,24953.0365,3.0
2022-10-27,20773.59,20878.17,20196.01,20296.97,NONE,,,,
2022-10-28,20295.77,20755.09,20000.0,20597.91,NONE,,,,
2022-10-29,20597.34,21080.0,20561.2,20823.53,NONE,,,,
2022-10-30,20822.38,20939.35,20523.92,20630.68,NONE,,,,
2022-10-31,20629.21,20837.68,20237.0,20489.94,NONE,,,,
2022-11-01,20489.55,20691.0,20326.55,20479.63,NONE,,,,
2022-11-02,20480.34,20805.0,20059.53,20151.4,NONE,,,,
2022-11-03,20151.29,20390.82,20032.02,20206.88,NONE,,,,
2022-11-04,20208.02,21298.76,20181.61,21144.2,NONE,,,,
2022-11-05,21149.03,21478.8,21082.54,21300.45,BUY,20736.68,18121.9345,28580.916500000003,3.0
2022-11-06,21300.45,21365.89,20886.26,20909.17,NONE,,,,
2022-11-07,20908.15,21069.46,20394.34,20593.49,NONE,,,,
2022-11-08,20593.34,20675.0,17500.0,18550.25,NONE,,,,
2022-11-09,18546.07,18590.34,15512.0,15891.96,NONE,,,,
2022-11-10,15894.77,18140.62,15720.0,17553.89,NONE,,,,
2022-11-11,17555.44,17641.32,16336.05,17013.62,NONE,,,,
2022-11-12,17014.78,17067.7,16595.25,16783.33,NONE,,,,
2022-11-13,16783.32,16926.57,16214.95,16301.39,NONE,,,,
2022-11-14,16298.75,17169.68,15790.25,16590.73,NONE,,,,
2022-11-15,16588.41,17107.88,16502.85,16877.93,NONE,,,,
2022-11-16,16879.37,16994.31,16358.66,16645.24,NONE,,,,
2022-11-17,16646.58,16736.7,16396.0,16680.47,NONE,,,,
2022-11-18,16680.47,16984.08,16526.28,16680.59,NONE,,,,
2022-11-19,16678.85,16802.0,16534.83,16683.02,NONE,,,,
2022-11-20,16680.7,16733.19,16154.65,16252.53,NONE,,,,
2022-11-21,16252.43,16279.99,15460.0,15760.14,SELL,16407.41,20431.09044,4336.36868,3.0
2022-11-22,15758.96,16294.5,15596.22,16199.71,NONE,,,,
2022-11-23,16201.15,16700.0,16142.99,16587.0,NONE,,,,
2022-11-24,16585.83,16797.28,16450.62,16587.61,NONE,,,,
2022-11-25,16587.6,16610.08,16333.0,16510.9,NONE,,,,
