timestamp,open,high,low,close,volume
2025-02-13 00:00:00+00:00,604.48,609.94,603.2,609.73,40921300.0
2025-02-14 00:00:00+00:00,609.94,610.99,609.07,609.7,26910400.0
2025-02-18 00:00:00+00:00,610.88,611.49,608.38,611.49,26749000.0
2025-02-19 00:00:00+00:00,610.08,613.23,609.56,612.93,31011100.0
2025-02-20 00:00:00+00:00,611.54,611.68,607.02,610.38,36554000.0
2025-02-21 00:00:00+00:00,610.16,610.3,599.47,599.94,76519800.0
2025-02-24 00:00:00+00:00,602.02,603.03,596.49,597.21,50737200.0
2025-02-25 00:00:00+00:00,597.15,597.89,589.56,594.24,58266500.0
2025-02-26 00:00:00+00:00,595.93,599.58,591.86,594.54,43321600.0
2025-02-27 00:00:00+00:00,596.85,598.02,584.65,585.05,74196700.0
2025-02-28 00:00:00+00:00,585.56,594.72,582.44,594.18,88744100.0
2025-03-03 00:00:00+00:00,596.18,597.34,579.9,583.77,74249200.0
2025-03-04 00:00:00+00:00,579.71,585.39,572.25,576.86,109648200.0
2025-03-05 00:00:00+00:00,576.69,584.88,573.08,583.06,71230500.0
2025-03-06 00:00:00+00:00,575.48,580.17,570.12,572.71,80094900.0
2025-03-07 00:00:00+00:00,570.9,577.39,565.63,575.92,81158800.0
2025-03-10 00:00:00+00:00,567.59,569.54,555.59,560.58,99326600.0
2025-03-11 00:00:00+00:00,559.4,564.02,552.02,555.92,88102100.0
2025-03-12 00:00:00+00:00,562.17,563.11,553.69,558.87,69588200.0
2025-03-13 00:00:00+00:00,558.49,559.11,549.68,551.42,74079400.0
2025-03-14 00:00:00+00:00,556.11,563.83,551.49,562.81,62660300.0
2025-03-17 00:00:00+00:00,562.79,569.71,562.35,567.15,49008700.0
2025-03-18 00:00:00+00:00,564.8,565.02,559.06,561.02,66041400.0
2025-03-19 00:00:00+00:00,562.83,570.95,561.63,567.13,66556000.0
2025-03-20 00:00:00+00:00,563.33,570.57,562.6,565.49,62958200.0
2025-03-21 00:00:00+00:00,559.28,564.89,558.03,563.98,83763000.0
2025-03-24 00:00:00+00:00,570.8,575.15,570.2,574.08,58766800.0
2025-03-25 00:00:00+00:00,575.3,576.41,573.69,575.46,38355700.0
2025-03-26 00:00:00+00:00,575.19,576.33,567.19,568.59,51848300.0
2025-03-27 00:00:00+00:00,567.18,570.9,564.94,567.08,42164200.0
2025-03-28 00:00:00+00:00,565.53,566.27,555.07,555.66,71662700.0
2025-03-31 00:00:00+00:00,549.83,560.71,546.87,559.39,95328200.0
2025-04-01 00:00:00+00:00,557.45,562.94,553.68,560.97,54609600.0
2025-04-02 00:00:00+00:00,555.05,567.42,554.81,564.52,76014500.0
2025-04-03 00:00:00+00:00,545.11,547.97,536.7,536.7,125986000.0
2025-04-04 00:00:00+00:00,523.67,525.87,505.06,505.28,217965100.0
2025-04-07 00:00:00+00:00,489.19,523.17,481.8,504.38,256611400.0
2025-04-08 00:00:00+00:00,521.86,524.98,489.16,496.48,165816600.0
2025-04-09 00:00:00+00:00,493.44,548.62,493.05,548.62,241867300.0
2025-04-10 00:00:00+00:00,532.17,533.5,509.32,524.58,162331200.0
2025-04-11 00:00:00+00:00,523.01,536.43,520.07,533.94,97866300.0
2025-04-14 00:00:00+00:00,544.05,544.28,533.86,539.12,68034000.0
2025-04-15 00:00:00+00:00,539.67,543.23,536.81,537.61,56892900.0
2025-04-16 00:00:00+00:00,531.68,537.89,520.29,525.66,83484800.0
2025-04-17 00:00:00+00:00,527.64,531.17,523.91,526.41,79868100.0
2025-04-21 00:00:00+00:00,521.16,521.7,508.46,513.88,69368100.0
2025-04-22 00:00:00+00:00,520.14,529.3,519.19,527.25,75948100.0
2025-04-23 00:00:00+00:00,540.43,545.43,533.88,535.42,90590700.0
2025-04-24 00:00:00+00:00,536.72,547.43,535.45,546.69,64150400.0
2025-04-25 00:00:00+00:00,546.65,551.05,543.69,550.64,61119600.0
2025-04-28 00:00:00+00:00,551.39,553.55,545.02,550.85,47613800.0
2025-04-29 00:00:00+00:00,548.91,555.45,548.55,554.32,47775100.0
2025-04-30 00:00:00+00:00,547.57,556.52,541.52,554.54,93101500.0
2025-05-01 00:00:00+00:00,560.37,564.07,557.86,558.47,63186100.0
2025-05-02 00:00:00+00:00,564.73,568.38,562.38,566.76,60717300.0
2025-05-05 00:00:00+00:00,562.57,566.65,561.7,563.51,38659200.0
2025-05-06 00:00:00+00:00,557.93,563.35,556.96,558.8,48264700.0
2025-05-07 00:00:00+00:00,560.15,563.82,556.04,561.15,55588000.0
2025-05-08 00:00:00+00:00,565.24,570.31,561.7,565.06,65130800.0
2025-05-09 00:00:00+00:00,566.48,567.5,562.76,564.34,37603400.0
2025-05-12 00:00:00+00:00,581.47,583.0,577.04,582.99,78993600.0
2025-05-13 00:00:00+00:00,583.41,589.08,582.84,586.84,67947200.0
2025-05-14 00:00:00+00:00,587.81,588.98,585.54,587.59,66283500.0
2025-05-15 00:00:00+00:00,585.56,590.97,585.1,590.46,71268100.0
2025-05-16 00:00:00+00:00,591.25,594.5,589.28,594.2,76052100.0
2025-05-19 00:00:00+00:00,588.1,595.54,588.1,594.85,68168500.0
2025-05-20 00:00:00+00:00,593.09,594.05,589.6,592.85,60614500.0
2025-05-21 00:00:00+00:00,588.44,592.58,581.82,582.86,95197700.0
2025-05-22 00:00:00+00:00,582.66,586.62,581.41,583.09,70860400.0
2025-05-23 00:00:00+00:00,575.98,581.81,575.6,579.11,76029000.0
2025-05-27 00:00:00+00:00,586.07,591.31,578.43,591.15,72588500.0
2025-05-28 00:00:00+00:00,591.56,592.77,586.99,587.73,68445500.0
2025-05-29 00:00:00+00:00,593.06,593.2,586.07,590.05,69973300.0
2025-05-30 00:00:00+00:00,588.93,591.13,583.24,589.39,90601200.0
2025-06-02 00:00:00+00:00,587.76,592.79,585.06,592.71,61630500.0
2025-06-03 00:00:00+00:00,592.34,597.08,591.85,596.09,63606200.0
2025-06-04 00:00:00+00:00,596.96,597.95,595.49,595.93,57314200.0
2025-06-05 00:00:00+00:00,597.63,599.0,591.05,593.05,92278700.0
2025-06-06 00:00:00+00:00,598.66,600.83,596.86,599.14,66588700.0
2025-06-09 00:00:00+00:00,599.72,601.25,598.49,599.68,53016400.0
2025-06-10 00:00:00+00:00,600.22,603.47,599.09,603.08,66247000.0
2025-06-11 00:00:00+00:00,604.19,605.06,599.27,601.36,73658200.0
2025-06-12 00:00:00+00:00,600.01,603.75,599.52,603.75,64129000.0
2025-06-13 00:00:00+00:00,598.5,601.85,595.48,597.0,89506000.0
2025-06-16 00:00:00+00:00,600.4,604.45,600.22,602.68,79984100.0
2025-06-17 00:00:00+00:00,600.21,601.75,596.76,597.53,82209400.0
2025-06-18 00:00:00+00:00,598.44,601.22,596.47,597.44,76605000.0
2025-06-20 00:00:00+00:00,598.38,599.46,592.86,594.28,94051400.0
2025-06-23 00:00:00+00:00,595.04,600.54,591.89,600.15,87426000.0
2025-06-24 00:00:00+00:00,604.33,607.85,603.41,606.78,67735300.0
2025-06-25 00:00:00+00:00,607.91,608.61,605.54,607.12,62114800.0
2025-06-26 00:00:00+00:00,608.99,612.31,608.37,611.87,78548400.0
2025-06-27 00:00:00+00:00,612.88,616.39,610.83,614.91,86258400.0
2025-06-30 00:00:00+00:00,617.38,619.22,615.04,617.85,92502500.0
2025-07-01 00:00:00+00:00,616.36,618.83,615.52,617.65,70030100.0
2025-07-02 00:00:00+00:00,617.24,620.49,616.61,620.45,66510400.0
2025-07-03 00:00:00+00:00,622.45,626.28,622.43,625.34,51065800.0
2025-07-07 00:00:00+00:00,623.36,624.03,617.87,620.68,74814500.0
